,1,2,3,4,5,6,7,8,9,10
"(1, 1)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 2)",-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 3)",-1.8977035522460937,-1.0,-1.8999988506717518,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 4)",-1.8999976269900798,-1.882412875581342,-1.8852439410787192,-1.899999999633386,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 5)",-2.665362598515191,-1.7861318444956615,-1.8999992217766084,-1.8955759106822088,-2.487364442873502,0.0,0.0,0.0,0.0,0.0
"(1, 6)",-2.410463602565229,-2.4516017140270563,-1.9,-1.9,-2.181020100809905,-2.60281948161983,0.0,0.0,0.0,0.0
"(1, 7)",-2.596299492430687,-2.4480338429734108,-2.2582419204711917,-1.9,-2.5017898641310747,-2.4589229255586944,-2.53872129157822,0.0,0.0,0.0
"(1, 8)",-2.6057522132396698,-2.537003617843881,-2.5354991566987457,-2.5275872626155613,-2.396068908368558,-2.6147947256374238,-2.586337623346637,-2.6198122916102817,0.0,0.0
"(1, 9)",-2.5593301254272465,-2.523748600184917,-2.527874955147505,-2.5588254185220904,-2.5270211074015947,-2.553826225296242,-2.5619135086928395,-2.5697451168259495,-2.560986342170424,0.0
"(1, 10)",-3.2399520928319445,-3.07930284380112,-2.695761645198523,-2.6844557546857115,-2.6945072130587047,-2.4869334156164844,-2.6814794764354897,-2.6910154496787255,-2.9602755145534108,-3.2123751028826715
"(2, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(2, 3)",0.0,-0.999755859375,-0.999755859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(2, 4)",0.0,-1.465625,-0.9999999990686774,-1.6404052734375,0.0,0.0,0.0,0.0,0.0,0.0
"(2, 5)",0.0,-1.8755273437491815,-1.8767430067062378,-1.8669250488281253,-1.881148775992915,0.0,0.0,0.0,0.0,0.0
"(2, 6)",0.0,-1.9578422927088446,-1.8520214843749998,-1.85703125,-1.8390705595724286,-2.307095703124263,0.0,0.0,0.0,0.0
"(2, 7)",0.0,-2.1637845458984373,-2.1066344451904295,-1.873507308959961,-1.8771004695817828,-2.113617187497053,-1.8598359375,0.0,0.0,0.0
"(2, 8)",0.0,-1.99520703125,-2.2063183593691065,-2.2030058833770454,-1.8771995770931245,-1.8665625,-1.90375537109375,-1.96359375,0.0,0.0
"(2, 9)",0.0,-2.3191194670557977,-2.073521484375,-1.9622552490234373,-2.0473333740234376,-2.189586305499077,-1.971158946990967,-2.2167265625,-2.1932109375000004,0.0
"(2, 10)",0.0,-2.935694211993921,-2.548700953155384,-2.6051985782403495,-2.620757647324707,-2.5381888770713363,-2.5520921562495946,-2.5904580390091985,-2.569568260908127,-2.6387463722074034
"(3, 3)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(3, 4)",0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
"(3, 5)",0.0,0.0,-1.899093246459961,-1.0,-1.8999989460688083,0.0,0.0,0.0,0.0,0.0
"(3, 6)",0.0,0.0,-1.849108873307705,-1.8391575813080123,-1.8434081897139551,-1.8632743835449217,0.0,0.0,0.0,0.0
"(3, 7)",0.0,0.0,-2.00880615234375,-1.8677595138549803,-1.879388400912285,-1.8635192871093749,-2.073022155761719,0.0,0.0,0.0
"(3, 8)",0.0,0.0,-1.986328125,-2.1052880859375,-1.865916252110037,-1.8371093733236195,-1.9845703125,-2.0314218750000004,0.0,0.0
"(3, 9)",0.0,0.0,-1.9953828125000002,-2.019039602279663,-2.0521875,-1.886686126586501,-2.1168603515625,-2.0986224365234376,-1.9402265625000004,0.0
"(3, 10)",0.0,0.0,-2.676105013556368,-2.571560335524101,-2.04282007774695,-2.6011715095068206,-2.582478043804065,-2.6210915157310666,-2.5836105249677437,-2.6024400062561037
"(4, 4)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(4, 5)",0.0,0.0,0.0,-0.9999980926513672,-0.9999961853027344,0.0,0.0,0.0,0.0,0.0
"(4, 6)",0.0,0.0,0.0,-1.89462890624998,-1.0,-1.7109237670898438,0.0,0.0,0.0,0.0
"(4, 7)",0.0,0.0,0.0,-1.733984375,-1.8061096191406252,-1.757411575317383,-1.7457031250000001,0.0,0.0,0.0
"(4, 8)",0.0,0.0,0.0,-2.23503662109375,-1.8639212608271918,-1.8225936889648438,-1.3884277343684517,-2.0335156249999997,0.0,0.0
"(4, 9)",0.0,0.0,0.0,-2.08781005859375,-2.0275390625,-1.8262557983398438,-1.8377455902099609,-2.1715771484375,-2.256962890625,0.0
"(4, 10)",0.0,0.0,0.0,-2.5667365032656417,-2.4566599721973574,-2.5416651501696377,-1.9,-2.5060569763183596,-2.395075240135193,-2.4548064506053926
"(5, 5)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(5, 6)",0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0
"(5, 7)",0.0,0.0,0.0,0.0,-1.7428573608398437,-1.0,-1.8785155847668646,0.0,0.0,0.0
"(5, 8)",0.0,0.0,0.0,0.0,-1.808468246407574,-1.8341779692098499,-1.5311332568525757,-1.8138427692465484,0.0,0.0
"(5, 9)",0.0,0.0,0.0,0.0,-2.120092468261719,-1.826079398393631,-1.8497802734375,-1.8253344928845765,-2.1337594121692725,0.0
"(5, 10)",0.0,0.0,0.0,0.0,-2.6966426258977694,-2.6630359217134076,-1.9,-1.9,-2.089076271802095,-2.4801065884530544
"(6, 6)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(6, 7)",0.0,0.0,0.0,0.0,0.0,-0.999969482421875,-0.999969482421875,0.0,0.0,0.0
"(6, 8)",0.0,0.0,0.0,0.0,0.0,-1.899469757080078,-1.0,-1.8913146972656252,0.0,0.0
"(6, 9)",0.0,0.0,0.0,0.0,0.0,-1.782897935807705,-1.3833709716796876,-1.794866943359375,-1.778460693359375,0.0
"(6, 10)",0.0,0.0,0.0,0.0,0.0,-2.579778764984021,-1.8999651923822949,-1.8999999116132669,-1.4499725004414314,-2.5495229721069337
"(7, 7)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
